Repository's Location,Branch,Author's GitHub ID,Author's Emails,Author's Display Name,Author's Git Author Name,Ignore Glob List
https://github.com/Jaey0un/ip.git,master,Jaey0un,,CS2103T-T14-1 JEON..YOUN,,
https://github.com/Ziwen510/ip.git,master,Ziwen510,,CS2103T-F11-4 WANG..IWEN,Ziwen Wang,
https://github.com/kevintanjc/ip.git,master,kevintanjc,,CS2103T-F15b-1 TAN ..EVIN,kevin,
https://github.com/syemfai/ip.git,master,syemfai,,CS2103T-F15a-3 SYED..RAFI,Faizal Rafi,
https://github.com/tjinyao/ip.git,master,tjinyao,,CS2103T-W12-3 TENG.. YAO,Your Name,
https://github.com/CZX123/ip.git,master,CZX123,,CS2103T-F15b-2 CAI ..XUAN,CZX,
https://github.com/crimsonchaos02/ip.git,master,crimsonchaos02,,CS2103T-W08-4 LOW ..YRUS,Cyrus,
https://github.com/jyheng02/ip.git,master,jyheng02,,CS2103T-F15a-4 HENG..YUAN,JiaYuan,
https://github.com/btjm123/ip.git,master,btjm123,,CS2103T-F15a-3 BENN..MING,Benn Tan,
https://github.com/Roshan1572/ip.git,master,Roshan1572,,CS2103T-W11-2 ROSH..ILAN,Roshan,
https://github.com/nicholaslimzixian/ip.git,master,nicholaslimzixian,,CS2103T-T17-2 NICH..XIAN,,
https://github.com/BiggillyBoyMan/ip.git,master,BiggillyBoyMan,,CS2103T-T10-1 LOW ..UCAS,,
https://github.com/lim-james/ip.git,master,lim-james,,CS2103T-T11-1 LIM ..AMES,James,
https://github.com/maybeweijun/ip.git,master,maybeweijun,,CS2103T-T14-3 TAN .. JUN,,
https://github.com/Chanism0808/ip.git,master,Chanism0808,,CS2103T-T14-3 JUST..SIEN,,
https://github.com/OKaiXiang/ip.git,master,OKaiXiang,,CS2103T-T14-4 ONG ..IANG,,
https://github.com/ryantanzr/ip.git,master,ryantanzr,,CS2103T-T11-1 RYAN..RONG,,
https://github.com/ChewyMochi/ip.git,master,ChewyMochi,,CS2103T-T14-3 CHEN..NYAO,,
https://github.com/codewallie/ip.git,master,codewallie,,CS2103T-T14-4 LIM ..LACE,,
https://github.com/christopherchong/ip.git,master,christopherchong,,CS2103T-T14-3 CHON..PHER,,
https://github.com/Nelsonweena/ip.git,master,Nelsonweena,,CS2103T-T13-1 WEE ..LSON,NelsonWee,
https://github.com/stefuiii/ip.git,master,stefuiii,,CS2103T-F11-4 JIAN..GHUI,,
https://github.com/dingf3ng/ip.git,master,dingf3ng,,CS2103T-T14-1 DING..FENG,dingfeng,
https://github.com/BJoozz/ip.git,master,BJoozz,,CS2103T-F15a-1 TRUO.. BAO,,
https://github.com/dinhcodes/ip.git,master,dinhcodes,,CS2103T-W09-4 DINH..LONG,,
https://github.com/zhequan00/ip.git,master,zhequan00,,CS2103T-F15a-4 KOM ..QUAN,,
https://github.com/sirylcereal/ip.git,master,sirylcereal,,CS2103T-F13-4 LYRI..G QI,Lyris Ng,
https://github.com/xiaoqi01010/ip.git,master,xiaoqi01010,,CS2103T-W09-2 WANG..AOQI,,
https://github.com/FZFZFZZ/ip.git,master,FZFZFZZ,,CS2103T-T15-1 LU H..MENG,luhaomeng,
https://github.com/xinyi-lim-19/ip.git,master,xinyi-lim-19,,CS2103T-T08-3 LIM ..N YI,xin yi,
https://github.com/chcischc/ip.git,master,chcischc,,CS2103T-F15a-1 ZHAN..IANG,Zhang Haoxiang,
https://github.com/MinhMXC/ip.git,master,MinhMXC,,CS2103T-T16-1 NGUY..MINH,Nguyen Quang Minh,
https://github.com/deniseegohh/ip.git,master,deniseegohh,,CS2103T-F10-3 DENI.. GOH,,
https://github.com/Xinxiang0257/ip.git,master,Xinxiang0257,,CS2103T-T17-1 HOU ..IANG,,
https://github.com/Swei99/ip.git,master,Swei99,,CS2103T-T14-4 SOO .. LUN,,
https://github.com/LABDHH/ip.git,master,LABDHH,,CS2103T-F10-1 SHAR..ABDH,Labdh,
